child_table,parent_table,relationship_type,foreign_key_field,path,description
udi_identifiers,udi,一对多,udi_id,udi.identifiers,udi_identifiers是udi的array表
udi_gmdn_terms,udi,一对多,udi_id,udi.gmdn_terms,udi_gmdn_terms是udi的array表
udi_sterilization,udi,一对多,udi_id,udi.sterilization,udi_sterilization是udi的object表
udi_product_codes,udi,一对多,udi_id,udi.product_codes,udi_product_codes是udi的array表
udi_customer_contacts,udi,一对多,udi_id,udi.customer_contacts,udi_customer_contacts是udi的array表
udi_premarket_submissions,udi,一对多,udi_id,udi.premarket_submissions,udi_premarket_submissions是udi的array表
udi_device_sizes,udi,一对多,udi_id,udi.device_sizes,udi_device_sizes是udi的array表
udi_storage,udi,一对多,udi_id,udi.storage,udi_storage是udi的array表
udi_sterilization_sterilization_methods,udi_sterilization,一对多,sterilization_id,udi.sterilization.sterilization_methods,udi_sterilization_sterilization_methods是udi_sterilization的array表
