child_table,parent_table,relationship_type,foreign_key_field,path,description
recall_openfda,recall,一对多,recall_id,recall.openfda,recall_openfda是recall的object表
recall_openfda_registration_number,recall_openfda,一对多,openfda_id,recall.openfda.registration_number,recall_openfda_registration_number是recall_openfda的array表
recall_openfda_fei_number,recall_openfda,一对多,openfda_id,recall.openfda.fei_number,recall_openfda_fei_number是recall_openfda的array表
recall_openfda_k_number,recall_openfda,一对多,openfda_id,recall.openfda.k_number,recall_openfda_k_number是recall_openfda的array表
recall_openfda_pma_number,recall_openfda,一对多,openfda_id,recall.openfda.pma_number,recall_openfda_pma_number是recall_openfda的array表
